model,scenario,noise,accuracy
models/gmm/door_3p.npy,door,0,0.52
models/gmm/door_3p.npy,door,0.01,0.52
models/gmm/door_3p.npy,door,0.02,0.22
models/gmm/door_3p.npy,door,0.03,0.17
models/gmm/door_3p.npy,door,0.05,0.06
models/gmm/door_5p.npy,door,0,0.75
models/gmm/door_5p.npy,door,0.01,0.55
models/gmm/door_5p.npy,door,0.02,0.31
models/gmm/door_5p.npy,door,0.03,0.24
models/gmm/door_5p.npy,door,0.05,0.11
models/gmm/door_7p.npy,door,0,0.68
models/gmm/door_7p.npy,door,0.01,0.52
models/gmm/door_7p.npy,door,0.02,0.46
models/gmm/door_7p.npy,door,0.03,0.32
models/gmm/door_7p.npy,door,0.05,0.09

models/gmm/door_3p/n00_f.npy,door,0,0.31
models/gmm/door_3p/n01_f.npy,door,0.01,0.31
models/gmm/door_3p/n02_f.npy,door,0.02,0.34
models/gmm/door_3p/n03_f.npy,door,0.03,0.18
models/gmm/door_3p/n05_f.npy,door,0.05,0.11

models/gmm/door_5p/n00_f.npy,door,0,0.65
models/gmm/door_5p/n01_f.npy,door,0.01,0.26
models/gmm/door_5p/n02_f.npy,door,0.02,0.30
models/gmm/door_5p/n03_f.npy,door,0.03,0.26
models/gmm/door_5p/n05_f.npy,door,0.05,0.07

models/gmm/door_7p/n00_f.npy,door,0,0.41
models/gmm/door_7p/n01_f.npy,door,0.01,0.21
models/gmm/door_7p/n02_f.npy,door,0.02,0.23
models/gmm/door_7p/n03_f.npy,door,0.03,0.15
models/gmm/door_7p/n05_f.npy,door,0.05,0.1
